2026-07-24 20:05:57,235 | INFO | Historical Dataset: Removed 0 duplicate rows
2026-07-24 20:05:57,274 | INFO | Fear & Greed Dataset: Removed 0 duplicate rows
2026-07-24 20:05:58,795 | INFO | Cleaned datasets saved.
2026-07-24 20:06:00,597 | INFO | Merge completed successfully.
2026-07-24 20:08:19,759 | INFO | Detected encoding ascii
2026-07-24 20:08:20,166 | INFO | Loaded historical_data.csv
2026-07-24 20:08:20,167 | INFO | Detected encoding ascii
2026-07-24 20:08:20,170 | INFO | Loaded fear_greed_index.csv
2026-07-24 20:08:20,357 | INFO | Historical Dataset: Removed 0 duplicate rows
2026-07-24 20:08:20,391 | INFO | Fear & Greed Dataset: Removed 0 duplicate rows
2026-07-24 20:08:21,889 | INFO | Cleaned datasets saved.
2026-07-24 20:08:23,878 | INFO | Merge completed successfully.
2026-07-24 20:11:49,881 | INFO | Detected encoding ascii
2026-07-24 20:11:50,273 | INFO | Loaded historical_data.csv
2026-07-24 20:11:50,277 | INFO | Detected encoding ascii
2026-07-24 20:11:50,280 | INFO | Loaded fear_greed_index.csv
2026-07-24 20:11:50,461 | INFO | Historical Dataset: Removed 0 duplicate rows
2026-07-24 20:11:50,497 | INFO | Fear & Greed Dataset: Removed 0 duplicate rows
2026-07-24 20:11:52,195 | INFO | Cleaned datasets saved.
2026-07-24 20:11:53,991 | INFO | Merge completed successfully.
2026-07-24 20:39:58,032 | INFO | Detected encoding ascii
2026-07-24 20:39:58,430 | INFO | Loaded historical_data.csv
2026-07-24 20:39:58,431 | INFO | Detected encoding ascii
2026-07-24 20:39:58,433 | INFO | Loaded fear_greed_index.csv
2026-07-24 20:39:58,619 | INFO | Historical Dataset: Removed 0 duplicate rows
2026-07-24 20:39:58,656 | INFO | Fear & Greed Dataset: Removed 0 duplicate rows
2026-07-24 20:40:00,188 | INFO | Cleaned datasets saved.
2026-07-24 20:40:01,952 | INFO | Merge completed successfully.
2026-07-24 20:48:02,118 | INFO | Detected encoding ascii
2026-07-24 20:48:02,338 | INFO | Loaded historical_data.csv
2026-07-24 20:48:02,339 | INFO | Detected encoding ascii
2026-07-24 20:48:02,340 | INFO | Loaded fear_greed_index.csv
2026-07-24 20:48:02,466 | INFO | Historical Dataset: Removed 0 duplicate rows
2026-07-24 20:48:02,488 | INFO | Fear & Greed Dataset: Removed 0 duplicate rows
2026-07-24 20:48:03,239 | INFO | Cleaned datasets saved.
2026-07-24 20:48:04,135 | INFO | Merge completed successfully.
2026-07-24 20:51:20,657 | INFO | Detected encoding ascii
2026-07-24 20:51:20,862 | INFO | Loaded historical_data.csv
2026-07-24 20:51:20,863 | INFO | Detected encoding ascii
2026-07-24 20:51:20,864 | INFO | Loaded fear_greed_index.csv
2026-07-24 20:51:20,978 | INFO | Historical Dataset: Removed 0 duplicate rows
2026-07-24 20:51:20,998 | INFO | Fear & Greed Dataset: Removed 0 duplicate rows
2026-07-24 20:51:21,768 | INFO | Cleaned datasets saved.
2026-07-24 20:51:22,685 | INFO | Merge completed successfully.
2026-07-24 20:54:43,753 | INFO | Detected encoding ascii
2026-07-24 20:54:43,950 | INFO | Loaded historical_data.csv
2026-07-24 20:54:43,951 | INFO | Detected encoding ascii
2026-07-24 20:54:43,952 | INFO | Loaded fear_greed_index.csv
2026-07-24 20:54:44,067 | INFO | Historical Dataset: Removed 0 duplicate rows
2026-07-24 20:54:44,086 | INFO | Fear & Greed Dataset: Removed 0 duplicate rows
2026-07-24 20:54:44,868 | INFO | Cleaned datasets saved.
2026-07-24 20:54:45,791 | INFO | Merge completed successfully.
2026-07-24 20:57:20,456 | INFO | Detected encoding ascii
2026-07-24 20:57:20,668 | INFO | Loaded historical_data.csv
2026-07-24 20:57:20,669 | INFO | Detected encoding ascii
2026-07-24 20:57:20,670 | INFO | Loaded fear_greed_index.csv
2026-07-24 20:57:20,802 | INFO | Historical Dataset: Removed 0 duplicate rows
2026-07-24 20:57:20,817 | INFO | Fear & Greed Dataset: Removed 0 duplicate rows
2026-07-24 20:57:21,602 | INFO | Cleaned datasets saved.
2026-07-24 20:57:22,528 | INFO | Merge completed successfully.
2026-07-24 21:01:34,466 | INFO | Detected encoding ascii
2026-07-24 21:01:34,667 | INFO | Loaded historical_data.csv
2026-07-24 21:01:34,668 | INFO | Detected encoding ascii
2026-07-24 21:01:34,669 | INFO | Loaded fear_greed_index.csv
2026-07-24 21:01:34,774 | INFO | Historical Dataset: Removed 0 duplicate rows
2026-07-24 21:01:34,796 | INFO | Fear & Greed Dataset: Removed 0 duplicate rows
2026-07-24 21:01:35,578 | INFO | Cleaned datasets saved.
2026-07-24 21:01:36,496 | INFO | Merge completed successfully.
2026-07-24 21:03:53,116 | INFO | Detected encoding ascii
2026-07-24 21:03:53,319 | INFO | Loaded historical_data.csv
